name,trial,channel,pce,jsc,voc,ff
8,c,c,13.037,24.348,0.77,0.673
8,c,d,9.808,22.246,0.77,0.554
8,c,e,10.912,22.305,0.78,0.607
8,c,f,11.892,22.192,0.78,0.664
8,d,a,10.733,22.641,0.79,0.58
8,d,b,11.395,22.718,0.77,0.63
8,d,c,12.285,22.094,0.77,0.698
8,d,d,10.219,22.459,0.8,0.55
8,d,e,11.404,23.76,0.77,0.603
8,d,f,12.773,24.012,0.78,0.66
9,a,a,8.448,23.211,0.76,0.463
9,a,b,8.41,23.249,0.76,0.46
9,a,c,8.4,23.215,0.76,0.46
9,a,d,8.398,23.196,0.76,0.461
9,a,e,8.399,23.226,0.75,0.466
9,a,f,8.396,23.204,0.75,0.467
9,b,a,8.409,20.802,0.76,0.514
9,b,b,8.399,20.822,0.76,0.513
9,b,c,8.394,20.729,0.76,0.515
9,b,d,8.388,20.798,0.76,0.513
9,b,e,8.359,20.866,0.76,0.51
9,b,f,8.344,20.781,0.76,0.511
9,c,a,8.91,23.335,0.78,0.474
9,c,b,8.885,23.294,0.78,0.473
9,c,c,8.89,23.3,0.78,0.473
9,c,d,8.888,23.449,0.78,0.47
9,c,e,8.855,23.42,0.78,0.469
9,c,f,8.857,23.325,0.78,0.471
9,d,a,9.464,24.72,0.76,0.487
9,d,b,9.394,24.754,0.76,0.483
9,d,c,9.35,24.797,0.75,0.486
9,d,d,9.337,24.785,0.75,0.486
9,d,e,9.296,24.699,0.75,0.485
9,d,f,9.26,24.618,0.75,0.485
10,a,a,8.516,22.712,0.76,0.477
10,a,b,8.517,22.748,0.76,0.476
10,a,c,8.514,22.807,0.76,0.475
10,a,d,8.482,22.827,0.76,0.473
10,a,e,8.485,22.881,0.75,0.478
10,a,f,8.444,22.807,0.75,0.477
10,b,a,3.555,14.756,0.72,0.324
10,b,b,6.332,19.93,0.75,0.41
10,b,c,6.704,19.817,0.75,0.436
10,b,d,6.928,20.258,0.75,0.441
10,b,e,7.058,20.437,0.75,0.445
10,b,f,7.061,20.511,0.75,0.444
10,c,a,8.412,21.508,0.75,0.504
10,c,b,8.395,21.698,0.75,0.499
10,c,c,8.401,21.753,0.75,0.498
10,c,d,8.39,21.82,0.75,0.496
10,c,e,8.385,21.842,0.75,0.495
10,c,f,8.329,21.688,0.74,0.502
10,d,a,9.201,24.239,0.77,0.477
10,d,b,9.172,24.398,0.77,0.472
10,d,c,9.146,24.312,0.77,0.473
10,d,d,9.144,24.342,0.76,0.478
10,d,e,9.131,24.448,0.76,0.475
10,d,f,9.148,24.524,0.76,0.475
11,a,a,10.617,21.199,0.8,0.606
11,a,b,11.472,21.501,0.8,0.645
11,a,c,11.092,20.208,0.8,0.664
11,a,d,8.292,16.365,0.8,0.613
11,a,e,9.303,17.499,0.8,0.643
11,a,f,9.33,16.589,0.8,0.68
11,b,a,9.303,20.033,0.77,0.583
11,b,b,10.908,22.209,0.77,0.617
11,b,c,11.856,21.004,0.8,0.682
11,b,d,8.261,17.026,0.76,0.618
11,b,e,9.525,18.016,0.78,0.656
11,b,f,8.689,16.34,0.8,0.643
11,c,a,7.988,17.46,0.78,0.567
11,c,b,9.813,19.256,0.78,0.632
11,c,c,10.12,18.662,0.78,0.672
11,c,d,8.945,18.197,0.78,0.61
11,c,e,1.249,2.203,0.78,0.703
11,c,f,9.546,17.34,0.78,0.683
11,d,a,9.45,23.028,0.78,0.509
11,d,b,10.313,23.052,0.78,0.555
11,d,c,10.227,21.387,0.77,0.601
11,d,d,8.785,21.005,0.77,0.525
11,d,e,2.661,23.053,0.26,0.429
11,d,f,9.051,20.231,0.77,0.562
12,a,a,8.41,22.117,0.76,0.484
12,a,b,8.378,21.547,0.74,0.508
12,a,c,8.916,21.422,0.74,0.544
12,a,d,8.146,22.972,0.76,0.451
12,a,e,8.835,23.657,0.74,0.488
12,a,f,8.978,23.767,0.73,0.5
12,b,a,1.159,1.923,0.78,0.747
12,b,b,9.703,23.674,0.78,0.508
12,b,c,0.611,15.945,0.12,0.308
12,b,d,1.743,2.936,0.78,0.736
12,b,e,1.096,1.968,0.77,0.699
12,b,f,1.905,3.388,0.77,0.706
12,c,a,9.035,23.954,0.75,0.486
12,c,b,9.741,24.327,0.75,0.516
12,c,c,0,4.793,0.01,0.001
12,c,d,7.421,19.802,0.75,0.483
12,c,e,8.011,20.711,0.75,0.499
12,c,f,8.579,20.405,0.75,0.542
12,d,a,3.319,6.076,0.78,0.677
12,d,b,8.821,21.484,0.77,0.516
12,d,c,9.301,21.576,0.77,0.541
12,d,d,2.237,3.624,0.77,0.775
12,d,e,0.316,0.642,0.77,0.619
12,d,f,1.513,2.69,0.76,0.716
13,a,a,9.506,22.086,0.79,0.527
13,a,b,9.947,21.619,0.79,0.563
13,a,c,10.984,21.437,0.79,0.627
13,a,d,9.466,23.124,0.79,0.501
13,a,e,10.245,22.924,0.79,0.547
13,a,f,11.103,23.052,0.79,0.59
13,b,a,8.935,21.969,0.75,0.524
13,b,b,1.125,1.795,0.76,0.798
13,b,c,10.428,22.384,0.76,0.593
13,b,d,9.287,24.16,0.76,0.489
13,b,e,9.683,23.222,0.75,0.538
13,b,f,10.362,22.602,0.75,0.591
13,c,a,8.052,21.133,0.78,0.472
13,c,b,9.547,22.122,0.78,0.535
13,c,c,10.279,22.088,0.78,0.577
13,c,d,1.215,1.944,0.78,0.775
13,c,e,0.829,1.355,0.78,0.759
13,c,f,10.775,22.965,0.78,0.582
13,d,a,9.504,23.26,0.79,0.5
13,d,b,9.859,23.102,0.77,0.536
13,d,c,10.688,22.862,0.77,0.587
13,d,d,9.431,22.344,0.78,0.523
13,d,e,10.07,22.344,0.77,0.566
13,d,f,1.639,2.761,0.77,0.745
14,a,a,8.17,23.23,0.78,0.436
14,a,b,9.925,23.236,0.77,0.536
14,a,c,10.84,23.106,0.78,0.582
14,a,d,8.764,21.322,0.77,0.516
14,a,e,0.917,1.702,0.77,0.676
14,a,f,10.857,22.224,0.77,0.614
14,b,a,9.454,22.504,0.79,0.514
14,b,b,8.926,21.383,0.74,0.546
14,b,c,10.06,22.291,0.74,0.59
14,b,d,9.795,24.238,0.76,0.514
14,b,e,3.098,5.391,0.73,0.761
14,b,f,10.957,23.355,0.74,0.613
14,c,a,0.455,0.837,0.79,0.665
14,c,b,10.142,22.548,0.77,0.565
14,c,c,11.019,22.676,0.78,0.603
14,c,d,9.508,23.783,0.78,0.496
14,c,e,10.307,24.132,0.78,0.53
14,c,f,11.09,23.992,0.78,0.573
14,d,a,9.156,23.211,0.76,0.502
14,d,b,9.294,23.14,0.74,0.525
14,d,c,10.454,23.125,0.77,0.568
14,d,d,8.818,22.353,0.77,0.496
14,d,e,8.732,22.62,0.73,0.511
14,d,f,9.894,22.956,0.74,0.563
15,a,a,8.872,21.953,0.77,0.508
15,a,b,1.096,16.906,0.19,0.33
15,a,c,9.777,22.636,0.73,0.572
15,a,d,8.672,20.493,0.77,0.532
15,a,e,9.307,21.413,0.74,0.568
15,a,f,9.746,21.522,0.73,0.6
15,b,a,9.218,20.81,0.78,0.549
15,b,b,9.618,20.245,0.77,0.597
15,b,c,10.056,20.67,0.77,0.611
15,b,d,10.173,23.772,0.8,0.517
