x0000,y0000
0.5033757388,538.3793878,
0.505188859,552.6658951,
0.5070019792,545.4610352,
0.5088150994,546.1316752,
0.5106282196,536.6886458,
0.5124413398,551.3989615,
0.5142544601,548.3728299,
0.5160675803,546.6142959,
0.5178807005,548.5205316,
0.5196938207,551.8077363,
0.5215069409,555.4589355,
0.5233200611,548.6706211,
0.5251331813,553.7655309,
0.5269463015,560.0888184,
0.5287594218,561.5089355,
0.530572542,556.7937012,
0.5323856622,577.5065739,
0.5341987824,579.4946691,
0.5360119026,582.5172852,
0.5378250228,587.7031732,
0.539638143,600.6928879,
0.5414512633,607.9359654,
0.5432643835,617.4125977,
0.5450775037,625.1890244,
0.5468906239,652.1425557,
0.5487037441,666.3199449,
0.5505168643,663.8558746,
0.5523299845,698.6899246,
0.5541431048,717.8581342,
0.555956225,734.6796415,
0.5577693452,759.7229421,
0.5595824654,814.2832031,
0.5613955856,832.1041081,
0.5632087058,866.9360294,
0.565021826,878.3525038,
0.5668349463,939.9114291,
0.5686480665,978.7799183,
0.5704611867,1026.292828,
0.5722743069,1066.009339,
0.5740874271,1141.992276,
0.5759005473,1175.739134,
0.5777136675,1201.716206,
0.5795267878,1261.070043,
0.581339908,1352.569171,
0.5831530282,1360.538624,
0.5849661484,1393.007996,
0.5867792686,1472.242535,
0.5885923888,1489.464709,
0.590405509,1497.874657,
0.5922186293,1492.604833,
0.5940317495,1544.28125,
0.5958448697,1506.658333,
0.5976579899,1496.650808,
0.5994711101,1477.102371,
0.6012842303,1466.020778,
0.6030973505,1424.248508,
0.6049104708,1370.633407,
0.606723591,1332.23738,
0.6085367112,1289.94365,
0.6103498314,1192.682118,
0.6121629516,1105.007901,
0.6139760718,1106.106519,
0.615789192,1040.710526,
0.6176023122,969.1222162,
0.6194154325,919.8613506,
0.6212285527,873.6434949,
0.6230416729,810.0553385,
0.6248547931,766.2919922,
0.6266679133,728.1871528,
0.6284810335,701.4041559,
0.6302941537,664.3270148,
0.632107274,625.3124566,
0.6339203942,615.2559009,
0.6357335144,590.4969854,
0.6375466346,564.40327,
0.6393597548,547.6631804,
0.641172875,539.7318668,
0.6429859952,530.0589638,
0.6447991155,513.6294586,
0.6466122357,508.3090659,
0.6484253559,504.3608984,
0.6502384761,493.5827714,
0.6520515963,485.8840592,
0.6538647165,480.9275905,
0.6556778367,476.2157118,
0.657490957,472.5543966,
0.6593040772,469.0397615,
0.6611171974,463.1603576,
0.6629303176,461.9423727,
0.6647434378,461.5399394,
0.666556558,457.7616347,
0.6683696782,456.2336857,
0.6701827985,452.065923,
0.6719959187,455.2624436,
0.6738090389,451.1920363,
0.6756221591,447.6184513,
0.6774352793,444.6453598,
0.6792483995,446.5635579,
0.6810615197,446.6111687,
0.68287464,447.5450167,
0.6846877602,443.2464923,
0.6865008804,442.2899907,
0.6883140006,443.8440657,
0.6901271208,447.3158318,
0.691940241,443.9304448,
0.6937533612,444.5204879,
0.6955664815,447.5993359,
0.6973796017,446.1171499,
0.6991927219,447.0157828,
0.7010058421,449.0303516,
0.7028189623,451.3891839,
0.7046320825,450.0380183,
0.7064452027,453.1041797,
0.7082583229,458.503756,
0.7100714432,462.0865753,
0.7118845634,464.4439721,
0.7136976836,467.2455959,
0.7155108038,468.4333705,
0.717323924,478.3367034,
0.7191370442,487.2262144,
0.7209501644,484.8655567,
0.7227632847,492.2573703,
0.7245764049,497.0481027,
0.7263895251,506.8441754,
0.7282026453,514.6254297,
0.7300157655,518.6492407,
0.7318288857,528.4006117,
0.7336420059,533.1086015,
0.7354551262,541.1656622,
0.7372682464,548.3260982,
0.7390813666,558.8841518,
0.7408944868,558.3161765,
0.742707607,573.2691662,
0.7445207272,578.3034856,
0.7463338474,579.6251095,
0.7481469677,584.6859298,
0.7499600879,586.7776754,
0.7517732081,593.3617044,
0.7535863283,596.4872396,
0.7553994485,598.4267203,
0.7572125687,596.552329,
0.7590256889,603.8650501,
0.7608388092,599.1384876,
0.7626519294,603.7981399,
0.7644650496,599.1797573,
0.7662781698,599.6214658,
0.76809129,594.8163697,
0.7699044102,588.0343531,
0.7717175304,585.6441825,
0.7735306507,577.5772774,
0.7753437709,576.3122468,
0.7771568911,571.9750072,
0.7789700113,566.027766,
0.7807831315,565.2930425,
